,FragmentID, SessionEndDate,La historia involucra…-X,La historia involucra…-Y,Esta historia me enseñó-X,Esta historia me enseñó-Y,La lección impacto en…-X,La lección impacto en…-Y,Es importante…-X,Es importante…-Y,Tono emocional,¿Cuándo sucedieron,¿La experiencia que compartiste es?,¿Qué tan común?,¿Por cuánto tiempo?,¿Quién crees que debe saber sobre esta historia?,¿En cuántos colegios/escuelas has estado?,Edad,Grado,Institucion Educativa Distrital,Género,FragmentEntry,StoryTitle,Temas,Familia,EstudiosAcudiente,Describe algo que es…,Sentí que tuve…,Las materias en clase...,El aprendizaje aplicado...,El aprendizaje por descubrimiento...,El auto-aprendizaje...
0,005323f7-d046-4b1e-9eb2-4a4704ddf9eb,2017/11/30 23:02:20.144,0.83431715,0.08511968,0.7676505,0.15543589,0.27876157,0.29606837,0.7083911999999999,0.29236752,Triste,Hace un año,Una opinión,Pasa todo el tiempo,Por algun tiempo,Todo el mundo,En 3,11,6,1. Colegio Agustín Fernández (IED),masculino,erase una vez un niño que me empeso a molestar  por que era gordito yme empeso a pegar y ami medio mucha rabia y le empeser a pegarle y me sitaron y despues otrodia me amenasARO CON UNAS TIGERAS Y6 YO QUERI<A RETIRARME PERO NO ME RETIRE,EL NIÑO GORDITO,"La seguridad en el colegio,Ninguna de las anteriores","mamá,otros","Bachiller,Postgrado (especialización maestría)",Pasa todo el tiempo,Absolutamente ningun control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro
1,00aa93f4-8add-49bd-9260-5cd8cba10951,2017/11/16 20:52:55.306,0.9713542,0.040709425,0.019502316,0.025906008,0.019502316,0.018504297,0.9861690000000001,0.022205127,Feliz,No se,Experiencia personal,Pasa una vez cada tanto,Por algun tiempo,Los profesores y las directivas,Sólo en este,17,8,1. Colegio Agustín Fernández (IED),masculino,el colegio es muy educado y grande los salones son bonitos y grandes lo severo es los campionatos de micro y las finales son muy bonitaslo negativo es pisingos porque casi a todos les da peresa ir o unas clases del colegio  y el recreo es muy corto,el colegio mas educado es el agustín fernandes,Educación / aprendizaje,otros familiares,Bachiller,Pasa todo el tiempo,Total control,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro
2,017e1fb9-a055-47e8-99eb-fa517bf27048,2017/12/01 03:51:38.351,0.49357638,0.7660769,0.5120949,0.7697778,0.5083912,0.7919829,0.5009838,0.79568374,Muy Feliz,Hace seis meses,Experiencia personal,Muy rara y única,Se me va a olvidar,Nadie,En 3,15,7,1. Colegio Agustín Fernández (IED),femenino,"pues que en vida escolar es muy interesante por que la paso muy bueno., pero como la mitad del año me paso algo muy negativo por que a mi me pegaron con una piedra en la mejilla inferior del pómulo  derecho ese era en la hora de descanso cunando repentina mente no supe quien  me pego.y desde hay todo me ha pasado cosas positivas.",no jugar con piedras,La seguridad en el colegio,otros familiares,Bachiller,Pasa todo el tiempo,Total control,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro
3,0208559d-2b1f-421f-a86d-ad761b98e859,2017/11/17 04:52:19.262,,,,,,,,,Muy Feliz,Hace un año,Una experiencia que alguien te compartió,Pasa una vez cada tanto,Por algun tiempo,Todo el mundo,Sólo en este,13,7,1. Colegio Agustín Fernández (IED),masculino,ami me gusta muchon el colegio por que todos los chicos son amigables sino que no me gusta que abeses se pelean por vovadas y de resto todo es mui divertido todo chebre,el chevero,"La seguridad en el colegio,Ninguna de las anteriores","Papá,mamá,Hermanos",Primaria,Pasa todo el tiempo,Absolutamente ningun control,Me interesa poco / Importa poco para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro
4,028d83c7-c051-4c82-a994-97c5b01ee40a,2017/11/17 00:11:00.856,0.5009838,0.27386323,0.5046875,0.31087178,0.5046875,0.28126493,0.49728009999999995,0.30347008,Indiferente,No se,Experiencia personal,Pasa todo el tiempo,Por mucho tiempo,Todo el mundo,Sólo en este,13,8,1. Colegio Agustín Fernández (IED),femenino,ha sido muy chevre estar en el colegio desde pequeña por que he conocido muchas personas y pues a sido algo genial pero lo que no me gusta de mi colegio es que  parece una carcel tiene rejas por todos lados hasta en el baño y  hasta en los bombillos pero es muy chebre estar aca con mis compañeros y es muy buen colegio,cambiando nuestra escuela para un mejor futuro,Innovación / creatividad,"mamá,Hermanos",Primaria,Pasa todo el tiempo,Total control,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro
5,04c37012-21ce-4a97-9813-658ee15a2e63,2017/11/30 23:29:00.566,0.16394676,0.096222214,0.5083912,0.6772564,0.5083912,0.6920598,0.8454282,0.0999231,Muy Feliz,No se,Experiencia personal,Muy rara y única,Por siempre,Nadie,En más de 4,13,7,1. Colegio Agustín Fernández (IED),femenino,un día yo estaba con mis amigas y me presentaron un amigo que era visco que me hacia reír micho pero hasta que un día se puso bipolar  y nos dejamos de hablar,mis amigos y yo,Relación con los compañeros,otros familiares,Bachiller,Pasa todo el tiempo,Poco control,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro
6,052ca636-8b2e-40f4-a6d7-a7bd6a6995f6,2017/11/16 21:04:19.397,,,,,,,,,Muy Triste,No se,Experiencia personal,Común,Por mucho tiempo,Todo el mundo,En 2,15,8,1. Colegio Agustín Fernández (IED),masculino,Que Una Vez En Primaria Estaba Caminando Y Un Niño Me Hizo Sancadilla Y Me Fracture El Codo :v,Niño Imprudente Le Hace Sancadilla A Una Joven,Bullying / matoneo,mamá,Bachiller,Pasa todo el tiempo,Poco control,Me interesa poco / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa poco / Importa mucho para mi futuro
7,05393c15-aad9-4fe1-ae78-dcc4553a15e4,2017/11/18 03:00:36.509,0.6121111,0.2072479,0.27507403,0.12952998,0.45655552,0.21464962,0.41203716,0.16287461,Muy Feliz,Hace un año,Experiencia personal,Común,Por siempre,Los profesores y las directivas,En más de 4,16,9,1. Colegio Agustín Fernández (IED),masculino,pues mi colegio es divertido los profesores le en señan bien a uno las enseñanzas normas y como venir o ni formado hacen actividades donde uno aprende bastante pero el problema son los compañeros que cuando hay salida o alguna fiesta en el colegio siempre tienen que con sumir y pues digamos que todo lo que son baños los están arreglando y pues la biblioteca es divertida hay muchos libros que en señan.,grande es este chico por lo magnifico que es,Relación con la familia,"Papá,mamá,Hermanos",Bachiller,Novedoso,Control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro
8,07854063-146b-4389-b447-eb8a51a7676b,2017/11/18 03:04:20.552,0.5082964,0.31090882,0.48988885,0.28866664,0.52692586,0.2701624,0.48988885,0.281265,Muy Feliz,Hace más de dos años,Experiencia personal,Pasa una vez cada tanto,Por algun tiempo,Todo el mundo,Sólo en este,15,9,1. Colegio Agustín Fernández (IED),femenino,"asisto a este colegio desde primaria, toda mi vida he estado allá, ha sido muy bueno, me han enseñado muchas cosas positivas, demasiado buenas. Es un buen colegio, tiene muchos profesores de buen carácter, que enseñan bien y así mismo uno aprende bien. Es un colegio de calidad, bonito, grande, con buenos compañeros. hacen actividades para todos, y aunque no son muy seguidas uno la pasa bien. Es un buen colegio LO RECOMIENDO!!",Mi colegio,Ninguna de las anteriores,"Papá,mamá",Bachiller,Completamente novedoso,Total control,Me interesa poco / Importa mucho para mi futuro,Me interesa poco / Importa mucho para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa poco / Importa poco para mi futuro
9,08fcf8e5-8b37-46f6-8b75-2502796085fe,2017/12/01 03:00:49.666,0.54913193,0.21464956,0.36394677,0.21094874,0.49357638,0.58473504,0.5083912,0.63654697,Indiferente,Hace seis meses,Experiencia personal,Común,Por siempre,Todo el mundo,En 2,16,11,1. Colegio Agustín Fernández (IED),femenino,pues este colegio siempre ha sido como algo bueno en aprendizaje y lo demás no he tenido casi ningún problema,felicidad,Ninguna de las anteriores,"mamá,Hermanos",Bachiller,Pasa todo el tiempo,Control,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro,Me interesa mucho / Importa poco para mi futuro,Me interesa mucho / Importa mucho para mi futuro
